,Model,Price,Speed up time,Max speed,Power reserve
0,Tesla Model 3 Long Range AWD,5 371 000,"4,4 с",233 км/ч,626 км
1,Tesla Model 3 Long Range AWD,5 523 192,"4,4 с",233 км/ч,626 км
2,Tesla Model 3 Long Range AWD STARTECH,6 449 218,"4,4 с",233 км/ч,626 км
3,Tesla Model 3 Performance (2022),5 926 140,"3,3 с",261 км/ч,547 км
4,Tesla Model 3 Standard Plus (2022),5 213 724,"6,1 с",225 км/ч,491 км
5,Tesla Model S Long Range,10 368 000,"3,2 с",250 км/ч,652 км
6,Tesla Model S Long Range,9 791 128,"3,2 с",250 км/ч,652 км
7,Tesla Model S Long Range,10 216 800,"3,2 с",250 км/ч,652 км
8,Tesla Model S Plaid (2021),13 680 000,"2,1 с",322 км/ч,628 км
9,Tesla Model S Plaid (2022),12 719 430,"2,1 с",322 км/ч,628 км
10,Tesla Model S Plaid (2022),11 860 070,"2,1 с",322 км/ч,628 км
11,Tesla Model X 90D 2016,7 500 000,"3,9 с",250 км/ч,580 км
12,Tesla Model X Long Range (2022),10 726 584,"3,9 с",250 км/ч,580 км
13,Tesla Model X P100D 2018,7 500 000,"2,8 с",261 км/ч,548 км
14,Tesla Model X Plaid,15 984 000,"2,6 с",262 км/ч,547 км
15,Tesla Model X Plaid,14 400 000,"2,6 с",262 км/ч,547 км
16,Tesla Model X Plaid (2022),12 111 318,"2,6 с",262 км/ч,547 км
17,Tesla Model Y Long Range AWD,6 170 090,5 с,217 км/ч,565 км
18,Tesla Model Y Long Range AWD,6 929 000,5 с,217 км/ч,565 км
19,Tesla Model Y Long Range AWD,6 230 278,5 с,217 км/ч,565 км
20,Tesla Model Y Performance,6 516 786,"3,7 с",250 км/ч,514 км
21,Tesla Roadster,18 286 000,"2,1 с",400 км/ч,998 км
22,Tesla Semi,16 400 000,5 с,0 км/ч,800 км
